GM102B_rel,GM302B_rel,GM502B_rel,GM702B_rel,temperature,humidity,treatment,timestamp,time
0.0,0.0,0.0,0.0,31.6,47.72,210668R1_20250621_141116,1750489876.252842,1
-0.0025360500000033426,0.019875700000056895,-0.012583579999954964,0.11925670999994509,31.6,47.71,210668R1_20250621_141116,1750489876.252842,2
-0.4917721099999426,-0.4299106399998891,-0.38652971999988495,-0.727665270000216,31.62,47.73,210668R1_20250621_141116,1750489876.252842,3
-0.4993802599999526,-0.3702835399999458,-0.4242804599998635,-0.36989514000015333,31.62,47.7,210668R1_20250621_141116,1750489876.252842,4
-0.7465343399999256,-0.5753010099999756,-0.6238371099998403,-0.6740994199999477,31.63,47.7,210668R1_20250621_141116,1750489876.252842,5
-0.7439982899999222,-0.5951767099999188,-0.6112535299998854,-0.7933561300001202,31.63,47.71,210668R1_20250621_141116,1750489876.252842,6
-1.7478309100000615,-1.295992389999924,-1.484981609999977,-1.294632990000082,31.67,47.65,210668R1_20250621_141116,1750489876.252842,7
-1.3042437499998414,-0.48844344999986333,-1.3375399099999186,1.6989097700000002,31.65,47.45,210668R1_20250621_141116,1750489876.252842,8
-1.3422844999998915,-0.1903079499999194,-1.5262936099999251,3.487760420000086,31.65,47.3,210668R1_20250621_141116,1750489876.252842,9
-1.6211106599999994,0.5837500600000567,-1.0282922999998618,4.354426939999939,31.62,47.22,210668R1_20250621_141116,1750489876.252842,10
-2.6287188100000094,0.6433771600001137,-1.066043039999954,2.712197070000002,31.62,47.19,210668R1_20250621_141116,1750489876.252842,11
-2.6312548600000127,0.6632528600000569,-1.078626619999909,1.8314537799997197,31.62,47.18,210668R1_20250621_141116,1750489876.252842,12
-2.633790910000016,0.6831285600001138,-2.091210199999864,0.9507104899998922,31.62,47.17,210668R1_20250621_141116,1750489876.252842,13
-2.144554850000077,0.1329149000000598,-1.717264059999934,1.7976324699998258,31.6,47.15,210668R1_20250621_141116,1750489876.252842,14
-3.13948275000007,0.09316350000005968,-1.6920968999999104,0.5591190499999357,31.6,47.17,210668R1_20250621_141116,1750489876.252842,15
-4.636326960000019,-0.296995739999943,-2.1037937799999327,-0.9300327999999354,31.62,47.16,210668R1_20250621_141116,1750489876.252842,16
-5.646471160000033,-0.2174929399999428,-2.154128099999866,-1.453005960000155,31.62,47.12,210668R1_20250621_141116,1750489876.252842,17
-5.15469905000009,0.21241770000006,-1.7675983799999813,-0.7253406899999391,31.6,47.11,210668R1_20250621_141116,1750489876.252842,18
-5.917689169999903,0.49693797000009,-1.618376049999938,0.05589043000009042,31.59,47.07,210668R1_20250621_141116,1750489876.252842,19
-5.920225219999907,0.5168136700000332,-1.6309596300000067,0.17514713999980813,31.59,47.06,210668R1_20250621_141116,1750489876.252842,20
-5.667999039999927,0.6820797400000629,-1.4062358199998926,-0.7591620000000603,31.58,47.08,210668R1_20250621_141116,1750489876.252842,21
-6.910081019999893,0.437310870000033,-1.5806253099999594,-2.301879699999972,31.59,47.1,210668R1_20250621_141116,1750489876.252842,22
-5.664166420000015,1.382895420000068,-0.5325077399999145,-1.2578851400000985,31.54,47.14,210668R1_20250621_141116,1750489876.252842,23
-6.655318790000024,-0.41729875999988053,-2.3433179199998904,-2.3554455500002405,31.58,47.13,210668R1_20250621_141116,1750489876.252842,24
-6.138186179999934,-0.18614511999987826,-1.8309523999998873,-2.82034737999993,31.56,47.22,210668R1_20250621_141116,1750489876.252842,25
-6.638805919999982,0.18413842000006753,-1.4066719399999101,-2.4504522400002315,31.54,47.24,210668R1_20250621_141116,1750489876.252842,26
-8.12043382999991,-0.3252750199998218,-1.7428673399999752,-3.6551443500000005,31.56,47.29,210668R1_20250621_141116,1750489876.252842,27
-7.6235896199999615,0.06488422000006722,-1.3311704599998393,-3.165992499999902,31.54,47.3,210668R1_20250621_141116,1750489876.252842,28
-6.627365149999946,0.8253270000001294,-0.4951931199999535,-2.306945510000105,31.5,47.33,210668R1_20250621_141116,1750489876.252842,29
-7.3612192399999685,0.150647489999983,-1.056112330000019,-3.5773284800000056,31.53,47.36,210668R1_20250621_141116,1750489876.252842,30
-6.364994769999953,0.9110902700001589,-0.22013498999990588,-2.718281489999981,31.49,47.39,210668R1_20250621_141116,1750489876.252842,31
-7.349778470000047,-0.20816392999984146,-0.14463350999983504,-3.433821749999879,31.49,47.45,210668R1_20250621_141116,1750489876.252842,32
-7.599468599999909,-0.39330569999992804,-0.3567737399999942,-3.6187693199999558,31.5,47.44,210668R1_20250621_141116,1750489876.252842,33
-6.588027829999987,0.2478828800001338,0.5547050800000761,-3.4752625900000567,31.46,47.53,210668R1_20250621_141116,1750489876.252842,34
-6.8301098099999535,1.003114010000104,0.38031559000012294,-5.017980289999969,31.47,47.55,210668R1_20250621_141116,1750489876.252842,35
-7.311737719999996,0.4937005700001009,0.04412019000017153,-6.222672399999965,31.49,47.6,210668R1_20250621_141116,1750489876.252842,36
-6.572811529999967,1.1286286800001335,0.6302065600000333,-5.190802850000182,31.46,47.59,210668R1_20250621_141116,1750489876.252842,37
-7.3129771999999775,1.2342676500001062,0.8926811100000123,-5.482882119999886,31.45,47.64,210668R1_20250621_141116,1750489876.252842,38
-7.302832999999964,0.15476485000010598,0.9430154300000595,-5.959908960000121,31.45,47.68,210668R1_20250621_141116,1750489876.252842,39
-6.811060889999908,0.5846754900001088,1.3295451500001718,-5.232243689999905,31.43,47.67,210668R1_20250621_141116,1750489876.252842,40
-6.556298660000039,0.7300658600000816,1.5668525400001272,-4.285809540000173,31.42,47.7,210668R1_20250621_141116,1750489876.252842,41
-6.563906810000049,0.7896929600001386,1.5291018000001486,-3.9280394100001104,31.42,47.67,210668R1_20250621_141116,1750489876.252842,42
-5.817372470000009,1.3649939700001141,2.152938909999989,-3.2539399900001627,31.39,47.69,210668R1_20250621_141116,1750489876.252842,43
