GM102B_rel,GM302B_rel,GM502B_rel,GM702B_rel,temperature,humidity,treatment,timestamp,time
0.0,0.0,0.0,0.0,31.67,47.84,With_Mealybug_4_20250621_135448,1750488888.818819,1
-0.7313180399999055,-0.6945552099999759,-0.5483356299998832,-1.389639680000073,31.7,47.88,With_Mealybug_4_20250621_135448,1750488888.818819,2
-0.7414622399999189,-0.6150524099999757,-0.5986699499999304,-0.9126128399998379,31.7,47.84,With_Mealybug_4_20250621_135448,1750488888.818819,3
-0.4917721099999426,-0.4299106399998891,-0.38652971999988495,0.2723347300002388,31.69,47.85,With_Mealybug_4_20250621_135448,1750488888.818819,4
-0.49430815999994593,-0.4100349399999459,-0.3991132999999536,0.3915914399999565,31.69,47.84,With_Mealybug_4_20250621_135448,1750488888.818819,5
-0.7414622399999189,-0.6150524099999757,-0.5986699499999304,0.08738716000016211,31.7,47.84,With_Mealybug_4_20250621_135448,1750488888.818819,6
-0.7592145899998286,-0.4759225099999185,-0.6867550099999562,0.9221841300000051,31.7,47.77,With_Mealybug_4_20250621_135448,1750488888.818819,7
-0.761750639999832,-0.45604680999997527,-0.6993385899999112,1.0414408400001776,31.7,47.76,With_Mealybug_4_20250621_135448,1750488888.818819,8
-1.5691501799999514,-0.5543310199999496,-2.625181619999921,3.229502460000276,31.73,47.5,With_Mealybug_4_20250621_135448,1750488888.818819,9
-1.3853973499998347,0.14757895000013832,-2.7402144699998416,5.515124490000289,31.72,47.25,With_Mealybug_4_20250621_135448,1750488888.818819,10
-1.9265938899999355,0.8358736900000849,-2.5172712899999397,4.793126990000019,31.7,47.11,With_Mealybug_4_20250621_135448,1750488888.818819,11
-1.702264259999879,0.21977246000005835,-2.4309668599998986,4.170641660000001,31.69,47.02,With_Mealybug_4_20250621_135448,1750488888.818819,12
-2.972242789999882,0.19363629000008586,-2.743775729999925,4.93974776999994,31.7,46.93,With_Mealybug_4_20250621_135448,1750488888.818819,13
-4.486839349999855,-0.05739304999985961,-3.243557669999859,4.285392890000139,31.72,46.85,With_Mealybug_4_20250621_135448,1750488888.818819,14
-5.0052114399999255,0.4520203900000297,-2.9073622699999078,3.4900850000001356,31.7,46.8,With_Mealybug_4_20250621_135448,1750488888.818819,15
-5.007747489999929,0.4718960900000866,-2.9199458499998627,2.6093417100000806,31.7,46.79,With_Mealybug_4_20250621_135448,1750488888.818819,16
-4.261213150000003,1.0471971000000622,-2.2961087400000224,3.2834411300000284,31.67,46.81,With_Mealybug_4_20250621_135448,1750488888.818819,17
-5.031811419999826,1.3913444700000355,-3.184637149999844,3.4224423800001205,31.66,46.74,With_Mealybug_4_20250621_135448,1750488888.818819,18
-7.015355639999825,0.5315231900000299,-3.957696589999955,1.9671118400001433,31.7,46.76,With_Mealybug_4_20250621_135448,1750488888.818819,19
-6.773273659999859,0.7762920600000598,-3.783307099999888,1.5098295400000552,31.69,46.74,With_Mealybug_4_20250621_135448,1750488888.818819,20
-8.27642944999991,1.1664513000000625,-3.3716102199999796,1.9989813900001536,31.67,46.75,With_Mealybug_4_20250621_135448,1750488888.818819,21
-8.019131169999923,1.291965970000092,-3.121719249999842,1.8261588300001677,31.66,46.79,With_Mealybug_4_20250621_135448,1750488888.818819,22
-8.263749200000007,0.06707280000000537,-3.3086923199999774,-0.5973021599997992,31.67,46.8,With_Mealybug_4_20250621_135448,1750488888.818819,23
-8.76690498999983,0.45723204000012174,-2.896995439999955,-0.10815030999992814,31.65,46.81,With_Mealybug_4_20250621_135448,1750488888.818819,24
-8.267524729999877,0.8275155800000675,-3.4727149799998642,0.2617448300002252,31.63,46.83,With_Mealybug_4_20250621_135448,1750488888.818819,25
-8.012762499999894,0.9729059500000403,-3.235407589999909,0.20817897999995694,31.62,46.86,With_Mealybug_4_20250621_135448,1750488888.818819,26
-7.263692109999852,1.5283312600000727,-2.598986899999886,0.7630216900001869,31.59,46.89,With_Mealybug_4_20250621_135448,1750488888.818819,27
-7.505774089999932,1.2835623900000428,-2.773376389999953,0.22030399000004763,31.6,46.91,With_Mealybug_4_20250621_135448,1750488888.818819,28
-7.500701989999925,1.2438109900000427,-2.7482092299999294,-0.01820942999984254,31.6,46.93,With_Mealybug_4_20250621_135448,1750488888.818819,29
-8.482949639999902,1.1046810899999855,-2.6601241699999036,-0.8530063999999129,31.6,47.0,With_Mealybug_4_20250621_135448,1750488888.818819,30
-9.233259509999812,1.289822860000072,-2.447983939999972,-0.6680588299998362,31.59,47.01,With_Mealybug_4_20250621_135448,1750488888.818819,31
-9.223115309999798,1.2103200600000719,-2.3976496199999247,-1.145085669999844,31.59,47.05,With_Mealybug_4_20250621_135448,1750488888.818819,32
-8.981033329999832,1.4550889300001018,-2.223260129999858,-0.602367969999932,31.58,47.03,With_Mealybug_4_20250621_135448,1750488888.818819,33
-9.479117019999762,0.8054967700001043,-1.7863960899999256,-0.3517295399997238,31.56,47.06,With_Mealybug_4_20250621_135448,1750488888.818819,34
-8.977200709999806,1.1559046099999932,-1.3495320499998797,-0.10109110999997029,31.54,47.09,With_Mealybug_4_20250621_135448,1750488888.818819,35
-9.46643676999986,0.7061182700001609,-1.7234781899999234,-1.9480130899996766,31.56,47.11,With_Mealybug_4_20250621_135448,1750488888.818819,36
-8.482892549999747,1.5659395500000528,-0.9504187499999261,-0.4926825499999268,31.52,47.09,With_Mealybug_4_20250621_135448,1750488888.818819,37
-8.714830329999927,1.2416678800000227,-2.074473919999946,-1.5124270899998464,31.53,47.15,With_Mealybug_4_20250621_135448,1750488888.818819,38
-8.699614029999907,1.1224136800000224,-1.9989724399999886,-2.2279673499997443,31.53,47.21,With_Mealybug_4_20250621_135448,1750488888.818819,39
-8.718605859999911,2.002110660000085,-1.2384965799998326,-0.653380099999822,31.49,47.18,With_Mealybug_4_20250621_135448,1750488888.818819,40
-8.710997709999901,0.9424835600001416,-1.200745839999854,-1.0111502299996573,31.49,47.21,With_Mealybug_4_20250621_135448,1750488888.818819,41
-8.204009299999825,1.2531400000000303,-0.7387146399998983,-0.999025219999794,31.47,47.26,With_Mealybug_4_20250621_135448,1750488888.818819,42
-7.954319169999849,1.438281770000117,-0.5265744099998528,-0.8140776499999447,31.46,47.27,With_Mealybug_4_20250621_135448,1750488888.818819,43
-7.694484839999859,1.5439207400000896,-0.26409985999987384,-1.1061569199996484,31.45,47.32,With_Mealybug_4_20250621_135448,1750488888.818819,44
-7.2001766799997995,1.9539556800000355,0.13501344000019344,-0.49774835999983225,31.43,47.32,With_Mealybug_4_20250621_135448,1750488888.818819,45
-7.1925685299997895,1.8943285800000922,0.17276418000017202,0.14448151000010512,31.43,47.35,With_Mealybug_4_20250621_135448,1750488888.818819,46
-7.927662099999907,1.9602161500000648,0.4604058900001746,-0.3861111799999435,31.42,47.42,With_Mealybug_4_20250621_135448,1750488888.818819,47
-7.672899869999924,2.1056065200001512,0.69771328000013,-0.43967702999998437,31.41,47.45,With_Mealybug_4_20250621_135448,1750488888.818819,48
-7.178591709999978,2.515641460000097,1.0968265800000836,-0.8312684699999409,31.39,47.45,With_Mealybug_4_20250621_135448,1750488888.818819,49
-6.913685279999868,2.5815290300000697,1.3844682900001999,-1.3618611599999895,31.38,47.52,With_Mealybug_4_20250621_135448,1750488888.818819,50
-6.426985269999932,3.0511910700000726,1.7458308500000612,-0.3956824699998833,31.36,47.49,With_Mealybug_4_20250621_135448,1750488888.818819,51
-6.167150939999942,3.1568300400000453,2.00830540000004,-0.6877617400000418,31.35,47.54,With_Mealybug_4_20250621_135448,1750488888.818819,52
-6.157006739999929,3.077327240000045,1.0586397200000874,-1.164788579999822,31.35,47.58,With_Mealybug_4_20250621_135448,1750488888.818819,53
