GM102B_rel,GM302B_rel,GM502B_rel,GM702B_rel,temperature,humidity,treatment,timestamp,time
0.0,0.0,0.0,0.0,30.44,58.78,Control_20250624_132717,1750746437.3738766,1
-0.7465343399999256,-0.575301010000203,-0.6238371100000677,-0.6740994199999477,30.47,58.76,Control_20250624_132717,1750746437.3738766,2
-1.9835442199998852,-1.859821280000233,-0.7730594399999973,-1.4553305399999772,30.48,58.8,Control_20250624_132717,1750746437.3738766,3
-1.9886163199998919,-1.8200698800001192,-1.7982265999999072,-1.216817120000087,30.48,58.78,Control_20250624_132717,1750746437.3738766,4
-2.738926189999802,-2.6349281100001463,-1.5860863699999754,-1.0318695500000103,30.47,58.79,Control_20250624_132717,1750746437.3738766,5
-3.233234349999748,-3.044963050000206,-1.985199669999929,-1.6402781100000539,30.49,58.79,Control_20250624_132717,1750746437.3738766,6
-2.983544219999885,-2.859821280000233,-1.7730594399999973,-1.4553305399999772,30.48,58.8,Control_20250624_132717,1750746437.3738766,7
-2.738926189999802,-2.6349281100001463,-1.5860863699999754,-1.0318695500000103,30.47,58.79,Control_20250624_132717,1750746437.3738766,8
-4.233234349999748,-3.044963050000206,-2.985199669999929,-1.6402781100000539,30.49,58.79,Control_20250624_132717,1750746437.3738766,9
-4.271275099999912,-2.7468275500000345,-3.173953370000163,0.14857254000003195,30.49,58.64,Control_20250624_132717,1750746437.3738766,10
-6.874633409999888,-4.302207390000149,-6.114160609999999,3.668202509999901,30.51,58.21,Control_20250624_132717,1750746437.3738766,11
-10.72007369999983,-6.102356100000179,-7.228757339999902,6.645114779999858,30.54,57.8,Control_20250624_132717,1750746437.3738766,12
-15.067373209999914,-8.791654190000145,-9.070512690000214,10.73171246999982,30.51,57.45,Control_20250624_132717,1750746437.3738766,13
-19.87477274999992,-12.88993840000012,-11.996355719999883,12.919774089999919,30.54,57.19,Control_20250624_132717,1750746437.3738766,14
-25.925493749999987,-15.492424400000118,-13.248027319999892,14.30490828999973,30.54,56.99,Control_20250624_132717,1750746437.3738766,15
-30.715140939999856,-20.729838510000036,-16.085785290000103,14.658172939999986,30.57,56.8,Control_20250624_132717,1750746437.3738766,16
-35.25633747999996,-24.04154377000009,-18.8628421100002,16.936175439999943,30.55,56.66,Control_20250624_132717,1750746437.3738766,17
-39.781078239999715,-28.21307031000015,-21.41295837000007,16.758847399999922,30.57,56.54,Control_20250624_132717,1750746437.3738766,18
-43.79629453999996,-32.093816110000034,-23.488459850000254,17.474387660000048,30.57,56.48,Control_20250624_132717,1750746437.3738766,19
-48.81911898999988,-34.91493480999998,-25.601712070000076,17.54769804999978,30.57,56.39,Control_20250624_132717,1750746437.3738766,20
-52.33625159999974,-39.14608845000021,-27.11407759000008,17.012599879999925,30.59,56.3,Control_20250624_132717,1750746437.3738766,21
-56.348931849999644,-43.04670995000015,-30.17699549000008,17.608883429999878,30.59,56.25,Control_20250624_132717,1750746437.3738766,22
-58.35400394999988,-46.006958550000036,-32.20216264999999,17.847396849999996,30.59,56.23,Control_20250624_132717,1750746437.3738766,23
-61.124602219999815,-48.66281118000006,-33.090691060000154,17.98639809999986,30.58,56.16,Control_20250624_132717,1750746437.3738766,24
-64.87620865999997,-51.19836079000015,-36.73969533000013,17.55081210000003,30.61,56.12,Control_20250624_132717,1750746437.3738766,25
-66.88381680999987,-54.13873369000021,-37.777446070000224,17.908582229999865,30.61,56.09,Control_20250624_132717,1750746437.3738766,26
-68.88635285999999,-56.11885799000015,-39.79002965000018,18.027838940000038,30.61,56.08,Control_20250624_132717,1750746437.3738766,27
-71.15125928999987,-58.18474556000001,-42.07767136000007,17.55843162999986,30.62,56.01,Control_20250624_132717,1750746437.3738766,28
-73.14872323999998,-60.20462126000007,-43.06508778000011,17.439174919999914,30.62,56.02,Control_20250624_132717,1750746437.3738766,29
-74.64556744999982,-63.59478050000007,-43.47678466000002,16.950023070000043,30.64,56.01,Control_20250624_132717,1750746437.3738766,30
-75.8977936299998,-64.76004657000021,-45.701508470000135,16.88433221000014,30.65,55.99,Control_20250624_132717,1750746437.3738766,31
-77.65824769999995,-66.49540200000024,-46.53970256000002,17.546306619999996,30.64,55.96,Control_20250624_132717,1750746437.3738766,32
-78.91300992999982,-68.6407923700001,-47.777009949999865,17.599872470000037,30.65,55.93,Control_20250624_132717,1750746437.3738766,33
-81.92061807999971,-70.58116527000016,-49.81476068999996,17.957642599999872,30.65,55.9,Control_20250624_132717,1750746437.3738766,34
-83.41492623999989,-71.99120021000022,-51.21387399000014,16.34923403999983,30.67,55.9,Control_20250624_132717,1750746437.3738766,35
-84.67222451999987,-74.11671488000025,-52.463764959999935,16.522056599999814,30.68,55.86,Control_20250624_132717,1750746437.3738766,36
-86.42760649000002,-75.89182171000016,-53.27679189000014,16.94551758999978,30.67,55.85,Control_20250624_132717,1750746437.3738766,37
-87.67983267,-78.05708778000007,-54.50151570000003,16.879826729999877,30.68,55.83,Control_20250624_132717,1750746437.3738766,38
-87.92698674999974,-79.26210525000033,-55.701072350000004,16.575622450000083,30.69,55.83,Control_20250624_132717,1750746437.3738766,39
-89.68490476999978,-80.01733638000019,-57.526682860000165,17.118340149999767,30.68,55.81,Control_20250624_132717,1750746437.3738766,40
-91.43397516000005,-82.5727616900001,-58.16310354999996,16.563497439999992,30.71,55.78,Control_20250624_132717,1750746437.3738766,41
-92.18050949999997,-85.14806270000008,-59.78694066000003,15.889398020000044,30.74,55.76,Control_20250624_132717,1750746437.3738766,42
-92.44665540999995,-84.47338319000028,-59.22602145000019,17.159780989999945,30.71,55.73,Control_20250624_132717,1750746437.3738766,43
-93.44665540999995,-86.47338319000028,-61.22602145000019,16.159780989999945,30.71,55.73,Control_20250624_132717,1750746437.3738766,44
-94.45172750999996,-87.43363179000016,-62.2511886100001,16.398294409999835,30.71,55.71,Control_20250624_132717,1750746437.3738766,45
-95.70141763999982,-89.61877356000014,-62.46332884000003,16.213346839999986,30.72,55.7,Control_20250624_132717,1750746437.3738766,46
-96.69888158999993,-90.63864925999997,-64.45074526000008,16.09409013000004,30.72,55.71,Control_20250624_132717,1750746437.3738766,47
-97.71663393999984,-91.49951936000002,-64.53883032000022,16.928887099999884,30.72,55.64,Control_20250624_132717,1750746437.3738766,48
-99.2134781499999,-92.88967860000002,-65.95052720000012,16.439735250000012,30.74,55.63,Control_20250624_132717,1750746437.3738766,49
-99.45556012999987,-95.13444747000017,-66.12491668999996,15.897017549999873,30.75,55.65,Control_20250624_132717,1750746437.3738766,50
-101.46063222999987,-96.09469607000028,-67.1500838500001,16.135530969999763,30.75,55.63,Control_20250624_132717,1750746437.3738766,51
-101.21855024999968,-96.84992720000014,-68.97569436000003,16.678248669999903,30.74,55.61,Control_20250624_132717,1750746437.3738766,52
-102.47077642999966,-99.01519327000005,-69.20041816999992,16.61255781,30.75,55.59,Control_20250624_132717,1750746437.3738766,53
-103.23376654999993,-99.73067300000002,-70.05119583999999,17.393788930000028,30.74,55.55,Control_20250624_132717,1750746437.3738766,54
-103.24391074999994,-100.65117020000025,-71.10153016000004,17.87081576999981,30.74,55.51,Control_20250624_132717,1750746437.3738766,55
-103.73568286,-102.08108084000014,-71.48805988000004,16.14315049999982,30.76,55.52,Control_20250624_132717,1750746437.3738766,56
-106.4796811499998,-103.67625755000017,-74.09931340999992,15.349794369999927,30.79,55.51,Control_20250624_132717,1750746437.3738766,57
-105.4936008799998,-104.83631197000022,-73.31367038999997,16.68586819999996,30.75,55.5,Control_20250624_132717,1750746437.3738766,58
-106.7534352099999,-105.9419509400002,-73.57614494000018,17.97794746999989,30.76,55.45,Control_20250624_132717,1750746437.3738766,59
-108.4796811499998,-107.67625755000017,-76.09931340999992,15.349794369999927,30.79,55.51,Control_20250624_132717,1750746437.3738766,60
-109.25027941999997,-108.3321101800002,-75.98784182000009,16.48879562000002,30.78,55.44,Control_20250624_132717,1750746437.3738766,61
-109.25281546999986,-109.31223448000014,-76.00042540000004,16.608052329999737,30.78,55.43,Control_20250624_132717,1750746437.3738766,62
-110.49743349999972,-110.53712765000023,-78.18739847000006,16.184591339999997,30.79,55.44,Control_20250624_132717,1750746437.3738766,63
-111.7471236299998,-112.7222694200002,-78.3995387,15.99964376999992,30.8,55.43,Control_20250624_132717,1750746437.3738766,64
-111.50504164999984,-113.47750055000006,-79.22514920999993,16.542361469999832,30.79,55.41,Control_20250624_132717,1750746437.3738766,65
-112.25788756999987,-114.27248308000026,-79.02559255999995,16.846565749999854,30.78,55.41,Control_20250624_132717,1750746437.3738766,66
-112.50504164999984,-115.47750055000006,-79.22514920999993,16.542361469999832,30.79,55.41,Control_20250624_132717,1750746437.3738766,67
-114.26042361999998,-116.2526073800002,-80.0381761399999,16.9658224599998,30.78,55.4,Control_20250624_132717,1750746437.3738766,68
-114.51011374999985,-117.43774915000017,-80.25031637000006,16.78087488999995,30.79,55.39,Control_20250624_132717,1750746437.3738766,69
-115.51264979999996,-118.41787345000012,-82.26289995000002,16.900131599999895,30.79,55.38,Control_20250624_132717,1750746437.3738766,70
-116.76994807999995,-119.54338812000015,-82.51279092000004,17.07295415999988,30.8,55.34,Control_20250624_132717,1750746437.3738766,71
