GM102B_rel,GM302B_rel,GM502B_rel,GM702B_rel,temperature,humidity,treatment,timestamp,time
0.0,0.0,0.0,0.0,37.52,45.68,TEST_20250423_124337,1745387017.049032,1
-0.22358842462608663,-1.6640050626247103,-1.6911303669567133,-0.42077100534561396,37.52,45.75,TEST_20250423_124337,1745387017.049032,2
0.31856593591282945,0.47436793662564014,0.4624822604637302,0.09480266062246301,37.51,45.71,TEST_20250423_124337,1745387017.049032,3
-0.7968378894152011,-2.1373109179812673,-2.132914783038359,-0.49015603934867613,37.54,45.67,TEST_20250423_124337,1745387617.807287,4
0.35050713943064693,0.7120829455716375,0.7040723128866375,0.15491280424316756,37.51,45.7,TEST_20250423_124337,1745387617.807287,5
0.41438954646673665,1.1875129634645418,1.1872524177306332,0.275133091484804,37.51,45.68,TEST_20250423_124337,1745387617.807287,6
0.031941203517817485,0.2377150089459974,0.24159005242290732,0.06011014362070455,37.52,45.67,TEST_20250423_124337,1745387617.807287,7
-1.275109842917118,-3.8002538993368944,-3.8033473056138973,-0.8855094180748893,37.55,45.69,TEST_20250423_124337,1745387617.807287,8
0.0,0.0,0.0,0.0,37.52,45.68,TEST_20250423_124337,1745387617.807287,9
-1.051521418291486,-2.136248836712184,-2.112216938657184,-0.4647384127292753,37.55,45.62,TEST_20250423_124337,1745387617.807287,10
-1.051521418291486,-2.136248836712184,-2.112216938657184,-0.4647384127292753,37.55,45.62,TEST_20250423_124337,1745387617.807287,11
0.19164722110735966,1.4262900536778034,1.4495403145347154,0.36066086172468204,37.52,45.62,TEST_20250423_124337,1745387617.807287,12
-1.6371318718252041,-0.9487358732494613,-0.9249645209265509,-0.18960532124492602,37.54,45.62,TEST_20250423_124337,1745387617.807287,13
-3.135830139367954,-6.412994835211066,-6.4194421934971615,-1.4958857446652019,37.57,45.7,TEST_20250423_124337,1745387617.807287,14
-2.019580214773214,-1.8985338277652772,-1.8706268862351862,-0.40462826910857075,37.55,45.61,TEST_20250423_124337,1745387617.807287,15
-2.1154038253275758,-2.611678854604179,-2.595397043502089,-0.5849586999709118,37.55,45.64,TEST_20250423_124337,1745387617.807287,16
-2.1473450288453932,-2.849393863551086,-2.836987095924087,-0.6450688435916163,37.55,45.65,TEST_20250423_124337,1745387617.807287,17
-3.8049032147114303,-7.599445717407434,-7.585996766847529,-1.7456012095308324,37.59,45.65,TEST_20250423_124337,1745387617.807287,18
-2.8803005112245046,-5.511274763639449,-4.48672177411845,-1.0150045956988833,37.57,45.62,TEST_20250423_124337,1745387617.807287,19
-3.3266312612090587,-6.936502736049988,-5.915564244271081,-1.350247830804392,37.58,45.63,TEST_20250423_124337,1745387617.807287,20
-4.741020807675795,-8.12401569951453,-7.102816662003534,-0.625380922289196,37.59,45.63,TEST_20250423_124337,1745387617.807287,21
-3.912241714742322,-5.748989772586356,-4.728311826540448,-1.0751147393198153,37.57,45.63,TEST_20250423_124337,1745387617.807287,22
-3.0834626218093035,-3.3739638456581815,-3.353806991079182,0.4751514436497928,37.55,45.63,TEST_20250423_124337,1745387617.807287,23
-3.7844769006705974,-3.798129736800547,-4.761951616850638,0.16532583516345767,37.57,45.59,TEST_20250423_124337,1745387617.807287,24
-4.166925243619062,-5.747927691318182,-5.707613982159273,-0.049697112700414436,37.58,45.58,TEST_20250423_124337,1745387617.807287,25
-4.134984040101244,-5.510212682371275,-5.4660239297372755,-0.9895869690797099,37.58,45.57,TEST_20250423_124337,1745387617.807287,26
-2.9237566042197614,-2.1853888009263756,-2.145856728967374,-0.22429783824622973,37.55,45.58,TEST_20250423_124337,1745387617.807287,27
-4.134984040101244,-5.510212682371275,-5.4660239297372755,-0.9895869690797099,37.58,45.57,TEST_20250423_124337,1745387617.807287,28
-3.7844769006705974,-5.798129736800547,-4.761951616850638,-0.8346741648365423,37.57,45.59,TEST_20250423_124337,1745387617.807287,29
-4.262748854172969,-6.461072718157084,-6.432384139427086,-1.2300275435627555,37.58,45.61,TEST_20250423_124337,1745387617.807287,30
-5.613255993603616,-7.173155663728721,-7.136456452313723,-1.3849403478061504,37.59,45.59,TEST_20250423_124337,1745387617.807287,31
-5.357726365460167,-6.271435592158014,-5.203736032934103,-0.9040591988396045,37.59,45.51,TEST_20250423_124337,1745387617.807287,32
-5.5174323830501635,-6.46001063688982,-6.411686295045911,-1.2046099169438094,37.59,45.56,TEST_20250423_124337,1745387617.807287,33
-5.549373586567981,-6.697725645835817,-6.653276347467909,-1.264720060564514,37.59,45.57,TEST_20250423_124337,1745387617.807287,34
-6.792542225966827,-10.260264536226714,-10.215033600659808,-2.0901193350184712,37.62,45.57,TEST_20250423_124337,1745387617.807287,35
-4.293843958424077,-5.796005574265109,-4.7205559280891976,-0.7838389115981954,37.59,45.49,TEST_20250423_124337,1745387617.807287,36
-5.600895004859467,-9.83397448254891,-9.765493286125093,-1.7294584732935618,37.62,45.51,TEST_20250423_124337,1745387617.807287,37
-5.325785161942349,-6.033720583211107,-5.962145980511195,-0.8439490552189,37.59,45.5,TEST_20250423_124337,1745387617.807287,38
-5.007219226029065,-5.559352646585467,-5.499663720047465,-0.7491463945966643,37.58,45.53,TEST_20250423_124337,1745387617.807287,39
-5.325785161942349,-6.033720583211107,-4.962145980511195,-0.8439490552189,37.59,45.5,TEST_20250423_124337,1745387617.807287,40
-7.4296740977924856,-11.209000409476175,-12.139998121587269,-2.27972465626317,37.64,45.51,TEST_20250423_124337,1745387617.807287,41
-7.6967186154129195,-9.547119509387812,-10.490263443391996,-1.9097889041561302,37.62,45.54,TEST_20250423_124337,1745387617.807287,42
-8.429674097792486,-12.209000409476175,-12.139998121587269,-2.27972465626317,37.64,45.51,TEST_20250423_124337,1745387617.807287,43
-7.505071394305105,-9.1208294557091,-9.04072312885728,-1.5491280424312208,37.62,45.48,TEST_20250423_124337,1745387617.807287,44
-8.493556504828575,-13.68443042736908,-12.623178226432174,-2.399944943504579,37.64,45.53,TEST_20250423_124337,1745387617.807287,45
-8.876004847776585,-14.634228381885805,-13.568840591740809,-2.6149678913686785,37.65,45.52,TEST_20250423_124337,1745387617.807287,46
-8.365791690756396,-12.733570391583271,-11.656818016742363,-2.1595043690215334,37.64,45.49,TEST_20250423_124337,1745387617.807287,47
-8.74824003370486,-13.683368346099996,-12.602480382050999,-2.374527316885633,37.65,45.48,TEST_20250423_124337,1745387617.807287,48
-7.473130190787288,-9.883114446763102,-8.799133076435282,-1.4890178988105163,37.62,45.47,TEST_20250423_124337,1745387617.807287,49
-8.68435762666877,-13.207938328207092,-12.119300277205184,-2.2543070296439964,37.65,45.46,TEST_20250423_124337,1745387617.807287,50
-8.174144469648581,-11.307280337904558,-10.207277702207648,-1.7988435072968514,37.64,45.43,TEST_20250423_124337,1745387617.807287,51
-8.620475219633136,-12.732508310315097,-11.636120172361188,-2.13408674240236,37.65,45.44,TEST_20250423_124337,1745387617.807287,52
-9.098747173135507,-14.395451291671634,-13.306552694935817,-2.529440121128573,37.66,45.46,TEST_20250423_124337,1745387617.807287,53
-8.174144469648581,-11.307280337904558,-10.207277702207648,-1.7988435072968514,37.64,45.43,TEST_20250423_124337,1745387617.807287,54
-8.74824003370486,-13.683368346099996,-12.602480382050999,-2.374527316885633,37.65,45.48,TEST_20250423_124337,1745387617.807287,55
-9.110262062612946,-10.831850320011654,-9.724097597362743,-1.678623220055215,37.64,45.41,TEST_20250423_124337,1745387617.807287,56
-9.620475219633136,-12.732508310315097,-11.636120172361188,-2.13408674240236,37.65,45.44,TEST_20250423_124337,1745387617.807287,57
-9.716298830186588,-13.445653337153999,-12.360890329628091,-2.314417173264701,37.65,45.47,TEST_20250423_124337,1745387617.807287,58
-10.0029235625816,-13.682306264831823,-12.581782537668914,-2.349109690266232,37.66,45.43,TEST_20250423_124337,1745387617.807287,59
-9.811276341473786,-12.25601621115311,-12.132242223135108,-1.98844882854155,37.66,45.37,TEST_20250423_124337,1745387617.807287,60
-8.345365376715563,-8.932254410977293,-8.832772866745472,-1.2485773243274707,37.62,45.43,TEST_20250423_124337,1745387617.807287,61
-10.735879044960711,-15.344187164921095,-15.231517215863278,-2.7190454423732717,37.68,45.4,TEST_20250423_124337,1745387617.807287,62
-9.907099952027693,-12.969161237992921,-12.857012380402011,-2.168779259403891,37.66,45.4,TEST_20250423_124337,1745387617.807287,63
-9.93904115554551,-13.206876246938918,-13.09860243282401,-2.2288894030245956,37.66,45.41,TEST_20250423_124337,1745387617.807287,64
-11.118327387909176,-16.29398511943873,-16.177179581171004,-2.934068390237371,37.69,45.39,TEST_20250423_124337,1745387617.807287,65
-11.086386184391358,-17.056270110491823,-15.935589528749006,-2.8739582466164393,37.69,45.38,TEST_20250423_124337,1745387617.807287,66
