GM102B_rel,GM302B_rel,GM502B_rel,GM702B_rel,color,source
0,0,0,0,gray,air
0,0,0,0,gray,air
1,0,0,0,gray,air
1,0,0,0,gray,air
2,0,0,0,gray,air
2,0,0,1,gray,air
2,0,0,1,gray,air
3,0,0,1,gray,air
3,0,0,2,gray,air
3,0,0,2,gray,air
3,0,0,2,gray,air
3,0,0,2,gray,air
3,0,0,2,gray,air
2,0,0,2,gray,air
2,0,0,1,gray,air
2,0,0,1,gray,air
1,0,0,1,gray,air
1,0,0,1,gray,air
1,1,0,1,gray,air
1,1,-1,1,gray,air
1,1,-1,1,gray,air
1,1,-1,1,gray,air
1,0,-1,1,gray,air
1,0,-1,1,gray,air
1,-1,-1,0,gray,air
1,-1,0,0,gray,air
1,-1,0,0,gray,air
1,-1,0,0,gray,air
0,-1,0,0,gray,air
1,0,0,0,gray,air
1,0,0,0,gray,air
1,0,0,0,gray,air
1,0,0,0,gray,air
1,0,0,0,gray,air
1,0,-1,0,gray,air
0,0,-1,0,gray,air
0,-1,-1,0,gray,air
0,-1,-1,0,gray,air
0,-1,-1,0,gray,air
0,-1,-1,0,gray,air
0,-1,-1,0,gray,air
0,-1,-1,-1,gray,air
-1,-1,-1,-1,gray,air
-1,-1,-1,-1,gray,air
-1,-1,-1,-1,gray,air
-1,-1,-2,-1,gray,air
-1,-1,-2,-1,gray,air
-1,-2,-2,-1,gray,air
-1,-2,-2,-1,gray,air
-1,-2,-2,-1,gray,air
-1,-2,-2,-1,gray,air
-1,-2,-2,-1,gray,air
-1,-2,-2,-1,gray,air
-1,-2,-2,-1,gray,air
-1,-2,-2,-1,gray,air
-1,-2,-2,-1,gray,air
-1,-3,-2,-2,gray,air
0,0,0,0,gray,air
0,0,0,-1,gray,air
0,0,0,-1,gray,air
0,0,0,-1,gray,air
0,0,0,0,gray,air
0,0,0,1,gray,air
1,0,0,1,gray,air
1,0,0,2,gray,air
1,0,1,2,gray,air
1,1,1,2,gray,air
1,1,1,2,gray,air
1,1,1,2,gray,air
1,1,2,2,gray,air
1,1,2,2,gray,air
1,1,2,2,gray,air
0,1,2,2,gray,air
0,1,1,2,gray,air
0,1,1,3,gray,air
0,1,1,2,gray,air
0,1,1,3,gray,air
0,1,1,2,gray,air
0,1,1,2,gray,air
0,1,1,2,gray,air
0,1,1,2,gray,air
0,1,2,2,gray,air
0,1,2,2,gray,air
0,1,1,2,gray,air
-1,1,1,1,gray,air
-1,1,1,1,gray,air
0,1,1,1,gray,air
-1,1,1,1,gray,air
-1,1,1,1,gray,air
-2,1,1,1,gray,air
-2,0,1,1,gray,air
